State,Fac Ex No,Address Main Entrance,Chicago Preservation Code,Property Category,Estimated Net Assignable Area,Year Acquired,Property Graphic,Building Length,Year Leased,Year Removed,Alternate Address,Estimated Total Net Area,Architect,Property Picture,Ext (IFMA) Gross Area,Comments,City Code,Legal Property Description,Sustainability - Certifications,Primary Assigned,Caretaker,Drawing Type,Removal Status,CSM,Building Height,National Register,Site Code,Fac Ex Abbr,Chicago Landmark,Major Renovation,Estimated Net Non-Assignable Area,CL Justification,Height Comments,Occupancy Classification,FICM Gross Area,City,Property Status,Alternate Property Code,Estimated Temporary Occupancy,Property Code,Physical Property Description,NR Justification,Secondary Assigned,Site Gross,Building Use,Property Name,Responsible Unit,PIN Number,Estimated Permanent Occupancy,Year Constructed,Replaced By,url,Building Width
,,61st & Greenwood,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,HV17,,,Unknown,0.00,Non-Building,Vault at 61st and Greenwood,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=470,0.00
,,NE of 61st and Ellis,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,HV18,,,Unknown,0.00,Non-Building,Vault NE of 61st and Ellis,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=471,0.00
,,60th & Greenwood,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,HV30,,,Unknown,0.00,Non-Building,Vault NE of Burton-Judson,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=472,0.00
,,SW of 60th & University,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,HV31,,,Unknown,0.00,Non-Building,Vault at Law School (NW),Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=473,0.00
,,SW of 60th & University,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,HV32,,,Unknown,0.00,Non-Building,Vault at Law School (North),Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=474,0.00
,,SW of 60th & University,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,HV33,,,Unknown,0.00,Non-Building,Vault at Law School (NE),Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=475,0.00
,,SE of 60th & University,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,HV34,,,Unknown,0.00,Non-Building,Vault at 1155 (NW),Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=476,0.00
,,60th betwen University & Woodlawn,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,HV35,,,Unknown,0.00,Non-Building,Vault at 1155 (North),Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=477,0.00
,,SW of 60th & Woodlawn,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,HV36,,,Unknown,0.00,Non-Building,Vault at 1155 (NE),Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=478,0.00
IL,66,969 East 60th Street,None,Building,"34,131.00",1963,I01_PHOTO.JPG,125.00,,,,"44,981.00",Ludwig Mies Van Der Rohe,,"52,598.63",,,,,SSA,University Facilities Services-South Shop,CAD,NA,Yes,19.00,Unknown,Campus,SSA,No,2007; Piecemeal,"10,850.00",,,C302,"52,598.63",CHICAGO,Owned,,467,I01,,,Unknown,0.00,ACADOffice,Social Service Administration,University Facilities Services,20-14-303-001,78,1963,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=479,204.00
IL,49,929 East 60th Street,Orange,Building,"12,384.00",1946,I02_PHOTO.JPG,163.00,,,6016 S. Ingleside Avenue,"15,357.00",Otis F. Johnson,,"25,042.10",,,,,Hum,University Facilities Services-South Shop,CAD,NA,Yes,20.00,Yes,Campus,M,No,2010 Exterior; 1963?,"2,973.00",,,C302,"19,320.06",CHICAGO,Owned,,78,I02,,,Unknown,0.00,Teaching,Midway Studios,University Facilities Services,20-14-302-002 & 3,6,1929,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=480,124.00
IL,,6011-27 South Ingleside Avenue,None,Building,"43,757.00",1948,I03_PHOTO.JPG,183.00,,,,"52,813.00",Philip B. Maher,,"64,647.64",,,,,FS,University Facilities Services-Residential Shop,CAD,NA,No,96.00,No,Campus,,No,Unknown; piecemeal for code and functionality,"9,056.00",Not listed as of July 2011,,A200,"64,647.64",CHICAGO,Owned,,3,I03,,Not listed as of July 2011,SSA,1.75,Residential,6011-27 South Ingleside Avenue,Neighborhood Residential Properties,20-14-303-001 & 002,157,1948,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=481,131.00
IL,60,6030 South Ellis Avenue,None,Building,"29,007.00",1966,I04_PHOTO.JPG,219.00,,,,"43,280.00",Hausner and Macsai; D. Swan,,"57,389.53",,,,,Acad Offices,University Facilities Services-South Shop,CAD,NA,Yes,29.00,Unknown,Campus,ED,No,1979; 1998,"14,273.00",,,C302,"56,251.43",CHICAGO,Owned,,78,I04,,,Unknown,0.00,ADMOffice,Edelstone Center,University Facilities Services,"20-14-303-003, 011",137,1966,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=482,112.00
IL,,6058 South Ellis Avenue,Unknown,Parking Lot,0.00,,,0.00,,,,0.00,,,0.00,,,,,FS Parking,Other,CAD,NA,Yes,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Owned,,0,I05,,,Unknown,0.00,Parking,Edelstone Parking Lot,University Facilities Services,20-14-303-010,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=483,0.00
IL,,6020-22 South Ingleside Avenue,Unknown,Building,0.00,1945,,0.00,,2000,,0.00,,,0.00,,,,,Inactive,University Facilities Services-Residential Shop,CAD,NA,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,I06,,,Unknown,0.00,Residential,6020-22 South Ingleside Avenue,Neighborhood Residential Properties,20-14-302-013,0,1905,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=484,0.00
IL,,6044-52 South Ingleside Avenue,None,Building,"22,924.00",1954,I07_PHOTO.JPG,0.00,,,,"24,431.00",Unknown,,"29,378.00",,,,,FS,University Facilities Services-Residential Shop,CAD,NA,No,0.00,Unknown,Campus,,No,Unknown; Piecemeal,"1,507.00",,,,"29,378.00",CHICAGO,Owned,,0,I07,,,Unknown,0.33,Residential,6044-52 South Ingleside Avenue,Neighborhood Residential Properties,20-14-302-020,44,1915,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=485,0.00
IL,,6054-56 South Ingleside Avenue,None,Building,"22,928.00",1961,I08_PHOTO.JPG,0.00,,,920-28 E. 61st Street,"25,114.00",,,"29,552.94",,,,,FS,University Facilities Services-Residential Shop,CAD,NA,No,0.00,Unknown,Campus,,No,Unknown; Piecemeal,"2,186.00",,,,"29,552.94",CHICAGO,Owned,,0,I08,,,Unknown,0.23,Residential,6054-56 South Ingleside Avenue,Neighborhood Residential Properties,20-14-302-021,35,1915,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=486,0.00
IL,,6051-57 South Drexel Avenue,None,Building,"30,863.00",1954,I09_PHOTO.JPG,0.00,,,906-14 East 61st Street,"32,871.00",Unknown,,"38,134.49",,,,,FS,University Facilities Services-Residential Shop,CAD,NA,No,0.00,Unknown,Campus,,No,Unknown; Piecemeal,"2,008.00",,,,"38,134.49",CHICAGO,Owned,,0,I09,,,Unknown,0.55,Residential,6051-57 South Drexel Avenue,Neighborhood Residential Properties,"20-14-302-011, 12",57,1915,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=487,0.00
IL,,6022-24 South Drexel Avenue,None,Building,"31,643.00",1961,I10_PHOTO.JPG,0.00,,,,"38,488.00",Federick Stanton,,"45,482.94",,,,,FS,University Facilities Services-Residential Shop,CAD,NA,No,0.00,Unknown,Campus,,No,Unknown; Piecemeal,"6,845.00",,,,"45,482.94",CHICAGO,Owned,,0,I10,,,Unknown,0.17,Residential,6022-24 South Drexel Avenue,Neighborhood Residential Properties,20-14-301-008,111,1915,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=488,0.00
IL,,6001-17 South Cottage Grove Blvd,Unknown,Building,0.00,1959,,0.00,,2005,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),University Facilities Services-Residential Shop,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,I11,,,Unknown,0.00,Commerical,Service Station,Inactive,20-14-301-001,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=489,0.00
IL,,6021-23 South Cottage Grove Blvd,None,Building,"7,246.00",1916,I12_PHOTO.JPG,0.00,,,,"8,641.00",Unknown,,"9,320.87",,,,,FS,University Facilities Services-Residential Shop,CAD,NA,No,0.00,Unknown,Campus,,No,Unknown,"1,395.00",,,,"9,320.87",CHICAGO,Owned,,0,I12,,,Unknown,0.00,Residential,6021-23 Cottage Grove,Neighborhood Residential Properties,20-14-301-003,0,1916,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=490,0.00
IL,67,950 East 61st Street,None,Building,"40,789.00",1970,I13_PHOTO.JPG,163.00,,,,"60,509.00",Hausner and Macsai,,"66,084.15",,,,,SSA,University Facilities Services-Residential Shop,CAD,NA,Yes,56.00,Unknown,Campus,WSSC,No,Unknown,"19,720.00",,,C302,"66,084.15",CHICAGO,Owned,,140,I13,,,Unknown,0.00,ADMOffice,950 East 61st Street,University Facilities Services,20-14-303-002 & 9,155,1970,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=491,225.00
IL,,6024-58 South Drexel Place,Unknown,Parking Lot,0.00,,,0.00,,,,0.00,,,0.00,,,,,UCH,University Facilities Services-Residential Shop,CAD,NA,No,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,I20,,,Unknown,0.00,Parking,6024-58 S. Drexel Place Parking Lot,Chicago Biology and  Medicine,20-14-301-027,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=492,0.00
IL,,6021-49 South Drexel Place,Unknown,Parking Lot,0.00,,,0.00,,,,0.00,,,0.00,,,,,UCH,University Facilities Services-Residential Shop,CAD,NA,No,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,I21,,,Unknown,0.00,Parking,6021-49 S. Drexel Place Parking Lot,Chicago Biology and  Medicine,20-14-302-004 to 010,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=493,0.00
IL,,6000 South Drexel Avenue,Unknown,Parking Lot,0.00,,,0.00,,,,0.00,,,0.00,,,,,FS Parking,Other,CAD,NA,Yes,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Owned,,0,I23,,,Unknown,0.00,Parking,Wells Parking Lot,University Facilities Services,20-14-301-002,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=494,0.00
IL,,6001 South Drexel Avenue,Unknown,Parking Lot,0.00,,,0.00,,,,0.00,,,0.00,,,,,FS Parking,Inactive,CAD,NA,Yes,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,I24,,,Unknown,0.00,Parking,Wagner Parking Lot,University Facilities Services,20-14-302-001,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=495,0.00
IL,,950 East 61st Street,Unknown,Parking Lot,0.00,,,0.00,,,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),University Facilities Services-Residential Shop,CAD,NA,Yes,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Owned,,0,I25,,,Unknown,0.00,Parking,WSSC Parking Lot,University Facilities Services,20-14-301-002,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=496,0.00
IL,,6011-27 South Ingleside Avenue,Unknown,Parking Lot,0.00,,,0.00,,,,0.00,,,0.00,,,,,FS,University Facilities Services-Residential Shop,CAD,NA,No,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Owned,,0,I26,,,Unknown,0.00,Parking,6011-27 Ingleside Parking Lot,Neighborhood Residential Properties,20-14-301-002,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=497,0.00
IL,,6024-42 South Ingleside Avenue,Unknown,Parking Lot,0.00,,,0.00,,2010,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),University Facilities Services-Residential Shop,CAD,NA,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,I27,,,Unknown,0.00,Parking,6024-42 Ingleside Parking Lot,Inactive,20-14-302-013 to 019,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=498,0.00
IL,,6054 South Drexel Avenue,None,Parking Structure,416.00,2007,I28_PHOTO.JPG,309.00,,,,"342,538.00",Ross Barney Architects,,"352,001.91",,,,,UCH,Chicago Biology and  Medicine,CAD,NA,No,101.83,Unknown,Campus,,No,None,"342,122.00",,,J100,"352,001.91",CHICAGO,Owned,,0,I28,,,Unknown,0.00,Parking,Campus South Parking Structure,Chicago Biology and  Medicine,20-14-301-029,0,2007,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=499,172.00
IL,,6054 South Drexel Avenue,None,Building,"46,933.00",2008,I29_PHOTO.JPG,252.00,,,,"63,715.00",Ross Barney Architects,,"75,645.66",,,,,CFO,University Facilities Services-South Shop,CAD,NA,Yes,71.50,Unknown,Campus,,No,None,"16,782.00",,,E100,"75,645.66",CHICAGO,Owned,,92,I29,,,Civic Engagement,0.00,ADMOffice,6054 South Drexel Avenue,University Facilities Services,20-14-301-029,275,2008,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=500,113.00
IL,LC,915 East 60th Street,None,Building,"76,834.00",2012,I30_PHOTO.JPG,306.00,,,,"143,870.00",Tod Williams Billie Tsien Architects,,"220,099.10",,,,LEED Certified Gold - New Construction,Acad Offices,University Facilities Services-South Shop,CAD,NA,Yes,180.00,Unknown,Campus,LC,No,,"67,036.00",,,C100,"188,820.81",CHICAGO,Owned,,"1,056",I30,,,Hum,0.00,Other,Reva and David Logan Center for the Arts,University Facilities Services,"20-14-302-001,4~19",40,2012,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=501,247.00
IL,,6001-17 South Cottage Grove Blvd,Unknown,Vacant Lot,0.00,2007,,0.00,,,,0.00,,,0.00,,,,,FS Parking,Other,CAD,NA,Yes,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Owned,,0,I31,,,Unknown,0.00,Non-Building,6001-17 Cottage Grove,University Facilities Services,20-14-301-001,0,2007,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=502,0.00
IL,49,935 East 60th Street,Orange,Building,"3,619.00",1946,I32_PHOTO.JPG,0.00,,,,"5,903.00",Otis F. Johnson,,"7,404.96",,,,,Hum,University Facilities Services-South Shop,CAD,NA,Yes,0.00,Yes,Campus,,No,2010 Exterior; 1963?,"2,284.00",,,C302,"7,199.99",CHICAGO,Owned,,78,I32,,,Unknown,0.00,Teaching,Lorado Taft House,University Facilities Services,20-14-302-002 & 3,6,1888,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=503,0.00
IL,,"59th-61st Streets, Woodlawn-Cottage",Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,FS,Other,CAD,NA,Yes,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Owned,,0,IG,,,Unknown,14.11,Non-Building,I Grid Grounds,University Facilities Services,See buildings,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=504,0.00
,,915 East 60th Street,None,Grounds,0.00,,IG01_PHOTO.JPG,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,No,Campus,,No,2012,0.00,,,UNK,0.00,,Owned,,0,IG01,,,Unknown,"13,000.00",Non-Building,Logan Center Courtyard,Unknown,20-14-302-001 & 002,0,2012,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=505,0.00
,,915 East 60th Street,Unknown,Grounds,0.00,,IG02_PHOTO.JPG,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IG02,,,Unknown,"1,200.00",Non-Building,South Kaufmann Garden,Unknown,20-14-302-008-0000,0,2012,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=506,0.00
,,NW of 61st and Ellis,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IV19,,,Unknown,0.00,Non-Building,Vault NW of 61st and Ellis,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=507,0.00
,,NW of 61st and Ellis,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IV20,,,Unknown,0.00,Non-Building,Vault on Grass by Edelstone,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=508,0.00
,,North of 61st between Ingleside & Ellis,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IV21,,,Unknown,0.00,Non-Building,Vault in Edelstone Parking Lot,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=509,0.00
,,NW of 61st & Ingleside,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IV22,,,Unknown,0.00,Non-Building,Vault in Logan Center Parking Lot,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=510,0.00
,,NE of 61st & Drexel,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IV23,,,Unknown,0.00,Non-Building,Vault in Logan Center Parking Lot near building,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=511,0.00
,,SW of 60th & Ingleside,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IV24,,,Unknown,0.00,Non-Building,Vault at Midway Studios South,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=512,0.00
,,SW of 60th & Ingleside,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IV25,,,Unknown,0.00,Non-Building,Vault at Midway Studios North,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=513,0.00
,,SE of 60th & Ingleside,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IV26,,,Unknown,0.00,Non-Building,Vault at North of Faculty Apts,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=514,0.00
,,SW of 60th & Ellis,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IV27,,,Unknown,0.00,Non-Building,Vault North of SSA,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=515,0.00
,,SW of 60th & Ellis,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IV28,,,Unknown,0.00,Non-Building,Vault NE of Edelstone,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=516,0.00
,,NW of 61st and Ellis,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Unknown,Unknown,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,UNK,0.00,,Owned,,0,IV29,,,Unknown,0.00,Non-Building,Vault East of Edelstone,Unknown,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=517,0.00
IL,,61st Street East of Harper Avenue,Unknown,Grounds,0.00,,,0.00,,,,0.00,,,0.00,,,,,Non-UNIV,Other,CAD,NA,Unknown,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Owned/Leased to Others,,0,JG,,,Unknown,7.84,Non-Building,J Grid Grounds,Other,See Description*,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=518,0.00
IL,,1334-40 Hyde Park Blvd,Yellow,Building,"25,335.00",1962,K02_PHOTO.JPG,0.00,,2015,1335-41 Madison Park,"32,375.00",,,"38,959.01",,,,,FS,University Facilities Services-Residential Shop,Manual,Sold/Transferred,No,0.00,Unknown,Hyde Park,,No,,"7,040.00",,,,"38,959.01",CHICAGO,Sold/Terminated,,0,K02,,,Unknown,0.26,Residential,1334-40 Hyde Park Blvd,Neighborhood Residential Properties,20-11-212-084,78,1926,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=519,0.00
IL,,1318-24 Hyde Park Blvd,Yellow,Building,"25,375.00",1964,K03_PHOTO.JPG,0.00,,2015,1319-25 Madison Park,"32,306.00",George Hinds,,"38,953.84",,,,,FS,University Facilities Services-Residential Shop,Manual,Sold/Transferred,No,0.00,Unknown,Hyde Park,,No,,"6,931.00",,,,"38,953.84",CHICAGO,Sold/Terminated,,0,K03,,,Unknown,0.26,Residential,1318-24 Hyde Park Blvd,Neighborhood Residential Properties,20-11-212-082,75,1926,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=520,0.00
IL,,1310-16 Hyde Park Blvd,Yellow,Building,"25,395.00",1964,K04_PHOTO.JPG,0.00,,2015,1311-17 Madison Park,"32,357.00",,,"39,020.63",,,,,FS,University Facilities Services-Residential Shop,Manual,Sold/Transferred,No,0.00,Unknown,Hyde Park,,No,,"6,962.00",,,,"39,020.63",CHICAGO,Sold/Terminated,,0,K04,,,Unknown,0.27,Residential,1310-16 Hyde Park Blvd,Neighborhood Residential Properties,20-11-212-081,74,1926,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=521,0.00
IL,,1330 Hyde Park Blvd,Unknown,Vacant Lot,0.00,,K05_PHOTO.JPG,0.00,,2015,,0.00,,,0.00,,,,,FS,University Facilities Services-Residential Shop,Manual,Sold/Transferred,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Sold/Terminated,,0,K05,,,Unknown,0.26,Non-Building,1330 Hyde Park Blvd,Neighborhood Residential Properties,20-11-212-083,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=522,0.00
IL,,5020 South Cornell Avenue,Unknown,Building,0.00,1977,,0.00,,,,0.00,,,"36,788.00",,,,,Non-UNIV,Other,Manual,NA,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,"36,788.00",CHICAGO,Owned/Leased to Others,,0,K06,,,Unknown,0.76,Commerical,Hyde Park Arts Center,Commercial Real Estate Operations,20-12-101-012 to 023,0,1920,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=523,0.00
IL,,1027-29 East 48th Street,Unknown,Vacant Lot,0.00,1990,K07_PHOTO.JPG,0.00,,,,0.00,,,0.00,,,,,FS,University Facilities Services-Residential Shop,CAD,NA,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Owned,,0,K07,,,Unknown,0.46,Non-Building,1027-29 East 48th Street,Neighborhood Residential Properties,"20-11-107-048,49",0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=524,0.00
